Empresa,Especialização,Contacto_referencia,Email,Telefone,Escritorio_PT,Fonte,Nota_validacao
Egon Zehnder (Lisboa),Executive Search / Leadership Advisory,Office contact,lisbon@egonzehnder.com,+351 21 351 06 60,"Av. Sidónio Pais 8 5º, 1050-214 Lisboa",https://www.egonzehnder.com/office/lisbon,Confirmado em página do escritório.
Odgers Berndtson (Portugal),Executive Search / Leadership,Office contact,lisboa@odgers.com,+351 21 242 38 19,Lisboa,https://www.odgers.com/en-fr/about-us/locations/europe/portugal/,Email confirmado; telefone via snippet (validar no site).
Korn Ferry (Lisboa),Executive Search / Org Consulting,Office contact (Our experts listados),, +351 21 315 21 70,"Edifício Atlantis, Av. D. João II 44C Piso 7.1/7.2, Parque das Nações, Lisboa",https://www.kornferry.com/about-us/global-offices/lisbon,Telefone confirmado; email direto não publicado.
Boyden (Lisboa+Porto),Executive Search,Office contacts,"boyden.lisbon@boyden.pt; boyden.porto@boyden.pt","Lisboa +351 21 318 33 00; Porto +351 22 092 12 40","Lisboa Campo Grande 220D 1º Dto 1700-094; Porto",https://www.boyden.com/portugal/,Contactos via snippet de pesquisa (confirmar secção contactos).
Michael Page (Portugal),Recrutamento especializado (incl. HCLS),Contactos por escritório,"lisboa@michaelpage.pt; porto@michaelpage.pt; sul@michaelpage.pt","Lisboa +351 21 041 9110; Porto +351 22 120 4360","Lisboa/Porto",https://www.michaelpage.pt/contacte-nos,Página lista emails/telefones.
Hays (Portugal),Recrutamento especializado + Exec Search,Escritórios PT,,"Lisboa +351 21 782 6560; Porto +351 22 607 8610","Lisboa/Porto",https://www.hays.pt/contactos/escritorios,Telefones confirmados; email não publicado nessa página.
Spencer Stuart,Executive Search / Board & CEO Advisory,Contacto geral,contact@spencerstuart.com,,Portugal (contacto global),https://www.spencerstuart.com/contact-us,Email geral confirmado; sem contacto PT explícito.
LHH | DBM Portugal,Leadership/Outplacement (empresas),Office contact,lhh@lhh-dbmportugal.com,"Lisboa 213 839 790; Porto 226 067 123","Lisboa/Porto",https://lhh-dbmportugal.pai.pt/contactos,Contactos publicados em diretório.
Page Executive (PageGroup),Executive Search,Contact via site,,,Portugal,https://www.pageexecutive.com/contact-us/portugal,Sem email/telefone no extract.
Heidrick & Struggles (Lisbon),Executive Search,Office contact,,+351 21 340 4507,"Lisboa Av. da Liberdade 110 1º",https://www.heidrick.com/en/offices/lisbon,Telefone via snippet; extract não mostrou detalhes.
